achievement_debug                        : 0        : , "cheat", "rep", "cl" : Turn on achievement debug msgs.
nav_mark_attribute                       : cmd      :                  : Set nav attribute for all areas in the selected set.
nav_mark_unnamed                         : cmd      :                  : Mark an Area with no Place name. Useful for finding stray areas missed when Place Painting.
nav_mark_walkable                        : cmd      :                  : Mark the current location as a walkable position. These positions are used as seed locations when sampling the map to generate 
nav_max_view_distance                    : 0        : , "sv", "cheat"  : Maximum range for precomputed nav mesh visibility (0 = default 1500 units)
nav_max_vis_delta_list_length            : 64       : , "sv", "cheat"  : 
nav_merge                                : cmd      :                  : To merge two Areas into one, mark the first Area, highlight the second by pointing your cursor at it, and invoke the merge comm
nav_no_hostages                          : cmd      :                  : Toggles the 'hostages cannot use this area' flag used by the AI system.
nav_no_jump                              : cmd      :                  : Toggles the 'dont jump in this area' flag used by the AI system.
nav_place_floodfill                      : cmd      :                  : Sets the Place of the Area under the cursor to the curent Place, and 'flood-fills' the Place to all adjacent Areas. Flood-filli
nav_place_list                           : cmd      :                  : Lists all place names used in the map.
nav_place_pick                           : cmd      :                  : Sets the current Place to the Place of the Area under the cursor.
nav_place_replace                        : cmd      :                  : Replaces all instances of the first place with the second place.
nav_place_set                            : cmd      :                  : Sets the Place of all selected areas to the current Place.
nav_potentially_visible_dot_tolerance    : 0        : , "sv", "cheat"  : 
nav_precise                              : cmd      :                  : Toggles the 'dont avoid obstacles' flag used by the AI system.
nav_quicksave                            : 1        : , "sv", "cheat"  : Set to one to skip the time consuming phases of the analysis.  Useful for data collection and testing.
nav_raise_drag_volume_max                : cmd      :                  : Raise the top of the drag select volume.
nav_raise_drag_volume_min                : cmd      :                  : Raise the bottom of the drag select volume.
nav_recall_selected_set                  : cmd      :                  : Re-selects the stored selected set.
nav_remove_from_selected_set             : cmd      :                  : Remove current area from the selected set.
nav_remove_jump_areas                    : cmd      :                  : Removes legacy jump areas, replacing them with connections.
nav_run                                  : cmd      :                  : Toggles the 'traverse this area by running' flag used by the AI system.
nav_save                                 : cmd      :                  : Saves the current Navigation Mesh to disk.
nav_select_blocked_areas                 : cmd      :                  : Adds all blocked areas to the selected set
nav_select_damaging_areas                : cmd      :                  : Adds all damaging areas to the selected set
nav_select_half_space                    : cmd      :                  : Selects any areas that intersect the given half-space.
nav_select_invalid_areas                 : cmd      :                  : Adds all invalid areas to the Selected Set.
nav_select_mesh                          : cmd      :                  : Select a navigation mesh for editing
nav_select_obstructed_areas              : cmd      :                  : Adds all obstructed areas to the selected set
nav_select_overlapping                   : cmd      :                  : Selects nav areas that are overlapping others.
nav_select_radius                        : cmd      :                  : Adds all areas in a radius to the selection set
nav_select_stairs                        : cmd      :                  : Adds all stairway areas to the selected set
nav_selected_set_border_color            : 100      : , "sv", "cheat"  : Color used to draw the selected set borders while editing.
nav_selected_set_color                   : 255      : , "sv", "cheat"  : Color used to draw the selected set background while editing.
nav_set_place_mode                       : cmd      :                  : Sets the editor into or out of Place mode. Place mode allows labelling of Area with Place names.
nav_shift                                : cmd      :                  : Shifts the selected areas by the specified amount
nav_show_approach_points                 : 0        : , "sv", "cheat"  : Show Approach Points in the Navigation Mesh.
nav_show_area_info                       : 0        : , "sv", "cheat"  : Duration in seconds to show nav area ID and attributes while editing
nav_show_compass                         : 0        : , "sv", "cheat"  : 
nav_show_continguous                     : 0        : , "sv", "cheat"  : Highlight non-contiguous connections
nav_show_danger                          : 0        : , "sv", "cheat"  : Show current 'danger' levels.
nav_show_light_intensity                 : 0        : , "sv", "cheat"  : 
nav_show_node_grid                       : 0        : , "sv", "cheat"  : 
nav_show_node_id                         : 0        : , "sv", "cheat"  : 
nav_show_nodes                           : 0        : , "sv", "cheat"  : 
nav_show_player_counts                   : 0        : , "sv", "cheat"  : Show current player counts in each area.
nav_show_potentially_visible             : 0        : , "sv", "cheat"  : Show areas that are potentially visible from the current nav area
nav_simplify_selected                    : cmd      :                  : Chops all selected areas into their component 1x1 areas and re-merges them together into larger areas
nav_slope_limit                          : 0        : , "sv", "cheat"  : The ground unit normal's Z component must be greater than this for nav areas to be generated.
nav_slope_tolerance                      : 0        : , "sv", "cheat"  : The ground unit normal's Z component must be this close to the nav area's Z component to be generated.
nav_snap_to_grid                         : 0        : , "sv", "cheat"  : Snap to the nav generation grid when creating new nav areas
nav_solid_props                          : 0        : , "sv", "cheat"  : Make props solid to nav generation/editing
nav_splice                               : cmd      :                  : To splice, mark an area, highlight a second area, then invoke the splice command to create a new, connected area between them.
nav_split                                : cmd      :                  : To split an Area into two, align the split line using your cursor and invoke the split command.
nav_split_place_on_ground                : 0        : , "sv", "cheat"  : If true, nav areas will be placed flush with the ground when split.
nav_stand                                : cmd      :                  : Toggles the 'stand while hiding' flag used by the AI system.
nav_stop                                 : cmd      :                  : Toggles the 'must stop when entering this area' flag used by the AI system.
nav_store_selected_set                   : cmd      :                  : Stores the current selected set for later retrieval.
nav_strip                                : cmd      :                  : Strips all Hiding Spots, Approach Points, and Encounter Spots from the current Area.
nav_subdivide                            : cmd      :                  : Subdivides all selected areas.
nav_test_node                            : 0        : , "sv", "cheat"  : 
nav_test_node_crouch                     : 0        : , "sv", "cheat"  : 
nav_test_node_crouch_dir                 : 4        : , "sv", "cheat"  : 
nav_test_stairs                          : cmd      :                  : Test the selected set for being on stairs
nav_toggle_deselecting                   : cmd      :                  : Start or stop continuously removing from the selected set.
nav_toggle_in_selected_set               : cmd      :                  : Remove current area from the selected set.
nav_toggle_place_mode                    : cmd      :                  : Toggle the editor into and out of Place mode. Place mode allows labelling of Area with Place names.
nav_toggle_place_painting                : cmd      :                  : Toggles Place Painting mode. When Place Painting, pointing at an Area will 'paint' it with the current Place.
nav_toggle_selected_set                  : cmd      :                  : Toggles all areas into/out of the selected set.
nav_toggle_selecting                     : cmd      :                  : Start or stop continuously adding to the selected set.
nav_transient                            : cmd      :                  : Toggles the 'area is transient and may become blocked' flag used by the AI system.
nav_unmark                               : cmd      :                  : Clears the marked Area or Ladder.
nav_update_blocked                       : cmd      :                  : Updates the blocked/unblocked status for every nav area.
nav_update_lighting                      : cmd      :                  : Recomputes lighting values
nav_update_visibility_on_edit            : 0        : , "sv", "cheat"  : If nonzero editing the mesh will incrementally recompue visibility
nav_use_place                            : cmd      :                  : If used without arguments, all available Places will be listed. If a Place argument is given, the current Place is set.
nav_walk                                 : cmd      :                  : Toggles the 'traverse this area by walking' flag used by the AI system.
nav_warp_to_mark                         : cmd      :                  : Warps the player to the marked area.
nav_world_center                         : cmd      :                  : Centers the nav mesh in the world
nb_allow_avoiding                        : 1        : , "sv", "cheat"  : 
nb_allow_climbing                        : 1        : , "sv", "cheat"  : 
nb_allow_gap_jumping                     : 1        : , "sv", "cheat"  : 
nb_blind                                 : 0        : , "sv", "cheat"  : Disable vision
nb_command                               : cmd      :                  : Sends a command string to all bots
nb_debug                                 : cmd      :                  : Debug NextBots.  Categories are: BEHAVIOR, LOOK_AT, PATH, ANIMATION, LOCOMOTION, VISION, HEARING, EVENTS, ERRORS.
nb_debug_climbing                        : 0        : , "sv", "cheat"  : 
nb_debug_filter                          : cmd      :                  : Add items to the NextBot debug filter. Items can be entindexes or part of the indentifier of one or more bots.
nb_debug_history                         : 1        : , "sv", "cheat"  : If true, each bot keeps a history of debug output in memory
nb_debug_known_entities                  : 0        : , "sv", "cheat"  : Show the 'known entities' for the bot that is the current spectator target
nb_delete_all                            : cmd      :                  : Delete all non-player NextBot entities.
nb_force_look_at                         : cmd      :                  : Force selected bot to look at the local player's position
nb_goal_look_ahead_range                 : 50       : , "sv", "cheat"  : 
nb_head_aim_resettle_angle               : 100      : , "sv", "cheat"  : After rotating through this angle, the bot pauses to 'recenter' its virtual mouse on its virtual mousepad
nb_head_aim_resettle_time                : 0        : , "sv", "cheat"  : How long the bot pauses to 'recenter' its virtual mouse on its virtual mousepad
nb_head_aim_settle_duration              : 0        : , "sv", "cheat"  : 
nb_head_aim_steady_max_rate              : 100      : , "sv", "cheat"  : 
nb_head_aim_tracking_interval            : 0        : , "sv", "cheat"  : How often the bot updates its estimate of tracking a moving subject
nb_ladder_align_range                    : 50       : , "sv", "cheat"  : 
nb_move_to_cursor                        : cmd      :                  : Tell all NextBots to move to the cursor position
nb_path_draw_inc                         : 100      : , "sv", "cheat"  : 
nb_path_draw_segment_count               : 100      : , "sv", "cheat"  : 
nb_path_segment_influence_radius         : 100      : , "sv", "cheat"  : 
nb_player_crouch                         : 0        : , "sv", "cheat"  : Force bots to crouch
nb_player_move                           : 1        : , "sv", "cheat"  : Prevents bots from moving
nb_player_stop                           : 0        : , "sv", "cheat"  : Stop all NextBotPlayers from updating
nb_player_walk                           : 0        : , "sv", "cheat"  : Force bots to walk
nb_saccade_speed                         : 1000     : , "sv", "cheat"  : 
nb_saccade_time                          : 0        : , "sv", "cheat"  : 
nb_select                                : cmd      :                  : Select the bot you are aiming at for further debug operations.
nb_speed_look_ahead_range                : 150      : , "sv", "cheat"  : 
nb_stop                                  : 0        : , "sv", "cheat", "rep" : Stop all NextBots
nb_update_debug                          : 0        : , "sv", "cheat"  : 
nb_update_framelimit                     : 15       : , "sv", "cheat"  : 
nb_update_frequency                      : 0        : , "sv", "cheat"  : 
nb_update_maxslide                       : 2        : , "sv", "cheat"  : 
nb_warp_selected_here                    : cmd      :                  : Teleport the selected bot to your cursor position
nd_bot_stealth_change_target_range_threshold : 100      : , "sv", "cheat"  : 
nd_bot_stealth_knife_range               : 300      : , "sv", "cheat"  : If threat is closer than this, prefer our knife
nd_commander_accept_time                 : 15       : , "rep", "cl"    : Time (seconds) the selected commander has to accept
nd_commander_election_time               : 45       : , "sv"           : 
nd_commander_mutiny_min_players          : 3        : , "rep", "cl"    : Min number of players connected to begin a mutiny vote
nd_commander_mutiny_surpress_time        : 5        : , "rep", "cl"    : Time in minutes before a mutiny can start after a previous one, or after a new round
nd_commander_mutiny_time                 : 30       : , "rep", "cl"    : Time (in seconds) a mutiny vote lasts
nd_commander_mutiny_vote_threshold       : 51       : , "sv"           : The percentage of team votes required for the current commander to be voted off.
nd_commander_surrender_vote_threshold    : 51       : , "sv"           : The percentage of team votes required for the team to surrender the round.
nd_infinite_resources                    : 0        : , "sv", "cheat"  : Allow infinite resources from resource points 
nd_select_control_group                  : cmd      :                  : 
nd_spawn_min_time                        : 6        : , "sv", "cheat"  : Min time in seconds player must be dead for before they can spawn
nd_spawn_wave_interval                   : 12       : , "sv", "cheat"  : Time in seconds between spawn waves
nd_starting_resources                    : 3000     : , "sv", "cheat"  : Resources that each team starts the game with
nd_stats_print                           : cmd      :                  : Print all retrieved stat data for the local player
nd_surrender_vote_time                   : 60       : , "rep", "cl"    : Time (seconds) the surrender vote will run for
nd_xmas                                  : 1        : , "sv"           : 
net_blockmsg                             : 0        : , "cheat"        : Discards incoming message: <0|1|name>
net_channels                             : cmd      :                  : Shows net channel info
net_droppackets                          : 0        : , "cheat"        : Drops next n packets on client
net_dumpeventstats                       : cmd      :                  : Dumps out a report of game event network usage
net_fakejitter                           : 0        : , "cheat"        : Jitter fakelag packet time
net_fakelag                              : 0        : , "cheat"        : Lag all incoming network data (including loopback) by this many milliseconds.
net_fakeloss                             : 0        : , "cheat"        : Simulate packet loss as a percentage (negative means drop 1/n packets)
net_graph                                : 0        : , "a", "cl"      : Draw the network usage graph, = 2 draws data on payload, = 3 draws payload legend.
net_graphheight                          : 64       : , "a", "cl"      : Height of netgraph panel
net_graphmsecs                           : 400      : , "a", "cl"      : The latency graph represents this many milliseconds.
net_graphpos                             : 1        : , "a", "cl"      : 
net_graphproportionalfont                : 1        : , "a", "cl"      : Determines whether netgraph font is proportional or not
net_graphshowinterp                      : 1        : , "a", "cl"      : Draw the interpolation graph.
net_graphshowlatency                     : 1        : , "a", "cl"      : Draw the ping/packet loss graph.
net_graphsolid                           : 1        : , "a", "cl"      : 
net_graphtext                            : 1        : , "a", "cl"      : Draw text fields
net_maxroutable                          : 1200     : , "a", "user"    : Requested max packet size before packets are 'split'.
net_public_adr                           : 0        :                  : For servers behind NAT/DHCP meant to be exposed to the public internet, this is the public facing ip address string: ('x.x.x.x'
net_scale                                : 5        : , "a", "cl"      : 
net_showreliablesounds                   : 0        : , "cheat"        : 
net_showsplits                           : 0        :                  : Show info about packet splits
net_showudp                              : 0        :                  : Dump UDP packets summary to console
net_showudp_remoteonly                   : 0        :                  : Dump non-loopback udp only
net_showusermessages                     : 0        : , "cheat", "cl"  : 
net_splitpacket_maxrate                  : 15000    :                  : Max bytes per second when queueing splitpacket chunks
net_splitrate                            : 1        :                  : Number of fragments for a splitpacket that can be sent per frame
net_start                                : cmd      :                  : Inits multiplayer network sockets
net_status                               : cmd      :                  : Shows current network status
net_steamcnx_allowrelay                  : 1        : , "a"            : Allow steam connections to attempt to use relay servers as fallback (best if specified on command line:  +net_steamcnx_allowrel
net_steamcnx_enabled                     : 1        :                  : Use steam connections on listen server as a fallback, 2 forces use of steam connections instead of raw UDP.
net_steamcnx_status                      : cmd      :                  : Print status of steam connection sockets.
next                                     : 0        : , "cheat"        : Set to 1 to advance to next frame ( when singlestep == 1 )
next_weapon_timer                        : 1        : , "a", "cl"      : 
nextdemo                                 : cmd      :                  : Play next demo in sequence.
noclip                                   : cmd      :                  : Toggle. Player becomes non-solid and flies.  Optional argument of 0 or 1 to force enable/disable
noclip_fixup                             : 1        : , "sv", "cheat"  : 
notarget                                 : cmd      :                  : Toggle. Player becomes hidden to NPCs.
npc_height_adjust                        : 1        : , "a", "sv"      : Enable test mode for ik height adjustment

overview_preferred_mode                  : 1        : , "a", "cl"      : Preferred overview mode
overview_preferred_view_size             : 600      : , "a", "cl"      : Preferred overview view size
overview_shouldtogglezoom                : 1        : , "a", "cl"      : 
overview_togglezoom                      : cmd      :                  : 

panel_test_title_safe                    : 0        : , "cheat"        : Test vgui panel positioning with title safe indentation
particle_simulateoverflow                : 0        : , "cheat", "cl"  : Used for stress-testing particle systems. Randomly denies creation of particles.
particle_test_attach_attachment          : 0        : , "sv", "cheat"  : Attachment index for attachment mode
particle_test_attach_mode                : 0        : , "sv", "cheat"  : Possible Values: 'start_at_attachment', 'follow_attachment', 'start_at_origin', 'follow_origin'
particle_test_file                       : 0        : , "sv", "cheat"  : Name of the particle system to dynamically spawn
particle_test_start                      : cmd      :                  : Dispatches the test particle system with the parameters specified in particle_test_file,  particle_test_attach_mode and particl
particle_test_stop                       : cmd      :                  : Stops all particle systems on the selected entities.  Arguments:    {entity_name} / {class_name} / no argument picks what playe
password                                 : 0        : , "a", "norecord" : Current server access password
path                                     : cmd      :                  : Show the engine filesystem path.
pause                                    : cmd      :                  : Toggle the server pause state.
perfui                                   : cmd      :                  : Show/hide the level performance tools UI.
perfvisualbenchmark                      : cmd      :                  : 
perfvisualbenchmark_abort                : cmd      :                  : 
phys2_debug_wireframe                    : 0        : , "cheat", "cl"  : Render Phys2 collision models in wireframe
phys2_default_max_velocity               : 40       : , "cheat"        : max object velocity, m/s
phys2_dump_runtime_sizes                 : 0        : , "cheat", "rep" : 
phys2_load                               : cmd      :                  : Saves physics SDK state
phys2_max_length_constraint_anchor       : 0        : , "cheat"        : 
phys2_mem_debug                          : 0        : , "cheat", "rep" : 
phys2_preload_models                     : 1        : , "cheat", "rep" : 
phys2_ragdoll_drive_type                 : 1        : , "cheat"        : joint PhysX drive type: 0 is none, 1 is position, 2 is velocity, 3 is both
phys2_save                               : cmd      :                  : Saves physics SDK state
phys2_save_client                        : cmd      :                  : Saves client physics scene
phys2_save_server                        : cmd      :                  : Saves server physics scene
phys2_shadow_port                        : 1        : , "cheat"        : Use the ported version of physics shadow controller?
phys2_shoot                              : cmd      :                  : Shoots a phys2 object.
phys2_stats                              : cmd      :                  : Dumps physics stats
phys2_vdb                                : 0        : , "cheat"        : 
phys2_vdb_host                           : 0        : , "cheat"        : 
phys2ui                                  : cmd      :                  : Show/hide the phys2 UI.
phys_shoot                               : cmd      :                  : Shoots a phys object.
physics_budget                           : cmd      :                  : Times the cost of each active object
physics_constraints                      : cmd      :                  : Highlights constraint system graph for an entity
physics_debug_entity                     : cmd      :                  : Dumps debug info for an entity
physics_highlight_active                 : cmd      :                  : Turns on the absbox for all active physics objects
physics_report_active                    : cmd      :                  : Lists all active physics objects
physics_select                           : cmd      :                  : Dumps debug info for an entity
physx_debug_dll                          : 0        : , "cheat"        : 
physx_valve_dll                          : 0        : , "cheat"        : 
picker                                   : cmd      :                  : Toggles 'picker' mode.  When picker is on, the bounding box, pivot and debugging text is displayed for whatever entity the play
ping                                     : cmd      :                  : Display ping to server.
pingserver                               : cmd      :                  : Ping a server for info
pixelvis_debug                           : cmd      :                  : Dump debug info
play                                     : cmd      :                  : Play a sound.
playdemo                                 : cmd      :                  : Play a recorded demo file (.dem ).
player_debug_print_damage                : 0        : , "sv", "cheat"  : When true, print amount and type of all damage received by player to console.
player_incap_use_radius                  : 96       : , "cheat", "rep", "cl" : 
player_use_radius                        : 96       : , "cheat", "rep", "cl" : 
playflush                                : cmd      :                  : Play a sound, reloading from disk in case of changes.
playgamesound                            : cmd      :                  : Play a sound from the game sounds txt file
playsoundscape                           : cmd      :                  : Forces a soundscape to play
playvideo                                : cmd      :                  : Plays a video: <filename> [width height]
playvideo_exitcommand                    : cmd      :                  : Plays a video and fires and exit command when it is stopped or finishes: <filename> <exit command>
playvol                                  : cmd      :                  : Play a sound at a specified volume.
plugin_load                              : cmd      :                  : plugin_load <filename> : loads a plugin
plugin_notify_non_valid                  : cmd      :                  : Notify's the user if any invalid plug-ins are loaded
plugin_pause                             : cmd      :                  : plugin_pause <index> : pauses a loaded plugin
plugin_pause_all                         : cmd      :                  : pauses all loaded plugins
plugin_print                             : cmd      :                  : Prints details about loaded plugins
plugin_unload                            : cmd      :                  : plugin_unload <index> : unloads a plugin
plugin_unpause                           : cmd      :                  : plugin_unpause <index> : unpauses a disabled plugin
plugin_unpause_all                       : cmd      :                  : unpauses all disabled plugins
print_colorcorrection                    : cmd      :                  : Display the color correction layer information.
progress_enable                          : cmd      :                  : 
prop_crosshair                           : cmd      :                  : Shows name for prop looking at
prop_debug                               : cmd      :                  : Toggle prop debug mode. If on, props will show colorcoded bounding boxes. Red means ignore all damage. White means respond phys
prop_dynamic_create                      : cmd      :                  : Creates a dynamic prop with a specific .mdl aimed away from where the player is looking.  Arguments: {.mdl name}
prop_physics_create                      : cmd      :                  : Creates a physics prop with a specific .mdl aimed away from where the player is looking.  Arguments: {.mdl name}
pwatchent                                : -1       : , "cheat", "cl"  : Entity to watch for prediction system changes.
pwatchvar                                : 0        : , "cheat", "cl"  : Entity variable to watch in prediction system for changes.

quit                                     : cmd      :                  : Exit the engine.

r_3dskyonly                              : 0        : , "cheat", "cl"  : Only draw the 3d skybox. . skip the rest of the world.
r_AirboatViewDampenDamp                  : 1        : , "cheat", "nf", "rep", "cl" : 
r_AirboatViewDampenFreq                  : 7        : , "cheat", "nf", "rep", "cl" : 
r_AirboatViewZHeight                     : 0        : , "cheat", "nf", "rep", "cl" : 
r_ambientfraction                        : 0        : , "cheat"        : Fraction of direct lighting used to boost lighting when model requests
r_ambientlightingonly                    : 0        : , "cheat"        : Set this to 1 to light models with only ambient lighting (and no static lighting).
r_avglight                               : 1        : , "cheat"        : 
r_avglightmap                            : 0        : , "cheat"        : 
r_cheapwaterend                          : cmd      :                  : 
r_cheapwaterstart                        : cmd      :                  : 
r_cleardecals                            : cmd      :                  : Usage r_cleardecals <permanent>.
r_ClipAreaPortals                        : 1        : , "cheat"        : 
r_colorstaticprops                       : 0        : , "cheat"        : 
r_debugcheapwater                        : 0        : , "cheat", "cl"  : 
r_debugrandomstaticlighting              : 0        : , "cheat"        : Set to 1 to randomize static lighting for debugging.  Must restart for change to take affect.
r_depthoverlay                           : 0        : , "cheat", "cl"  : Replaces opaque objects with their grayscaled depth values. r_showz_power scales the output.
r_DispBuildable                          : 0        : , "cheat"        : 
r_DispWalkable                           : 0        : , "cheat"        : 
r_drawallrenderables                     : 0        : , "cheat", "cl"  : Draw all renderables, even ones inside solid leaves.
r_DrawBeams                              : 1        : , "cheat"        : 0=Off, 1=Normal, 2=Wireframe
r_drawbrushmodels                        : 1        : , "cheat"        : Render brush models. 0=Off, 1=Normal, 2=Wireframe
r_drawclipbrushes                        : 0        : , "cheat"        : Draw clip brushes (red=NPC+player, pink=player, purple=NPC)
r_drawdecals                             : 1        : , "cheat"        : Render decals.
r_DrawDisp                               : 1        : , "cheat"        : Toggles rendering of displacment maps
r_drawentities                           : 1        : , "cheat"        : 
r_drawfuncdetail                         : 1        : , "cheat"        : Render func_detail
r_drawleaf                               : -1       : , "cheat"        : Draw the specified leaf.
r_drawlightcache                         : 0        : , "cheat"        : 0: off 1: draw light cache entries 2: draw rays 
r_drawlightinfo                          : 0        : , "cheat"        : 
r_drawlights                             : 0        : , "cheat"        : 
r_DrawModelLightOrigin                   : 0        : , "cheat"        : 
r_drawmodelstatsoverlay                  : 0        : , "cheat"        : 
r_drawmodelstatsoverlaydistance          : 500      : , "cheat"        : 
r_drawmodelstatsoverlaymax               : 1        : , "a"            : time in milliseconds beyond which a model overlay is fully red in r_drawmodelstatsoverlay 2
r_drawmodelstatsoverlaymin               : 0        : , "a"            : time in milliseconds that a model must take to render before showing an overlay in r_drawmodelstatsoverlay 2
r_drawopaquerenderables                  : 1        : , "cheat", "cl"  : 
r_drawopaqueworld                        : 1        : , "cheat", "cl"  : 
r_drawothermodels                        : 1        : , "cheat", "cl"  : 0=Off, 1=Normal, 2=Wireframe
r_drawparticles                          : 1        : , "cheat", "cl"  : Enable/disable particle rendering
r_DrawPortals                            : 0        : , "cheat"        : 
r_DrawRain                               : 1        : , "cheat", "cl"  : Enable/disable rain rendering.
r_drawrenderboxes                        : 0        : , "cheat", "cl"  : 
r_drawropes                              : 1        : , "cheat", "cl"  : 
r_drawskybox                             : 1        : , "cheat"        : 
r_drawsprites                            : 1        : , "cheat", "cl"  : 
r_drawstaticprops                        : 1        : , "cheat"        : 0=Off, 1=Normal, 2=Wireframe
r_drawtracers                            : 1        : , "cheat", "cl"  : 
r_drawtranslucentrenderables             : 1        : , "cheat", "cl"  : 
r_drawtranslucentworld                   : 1        : , "cheat"        : 
r_drawvgui                               : 1        : , "cheat"        : Enable the rendering of vgui panels
r_drawviewmodel                          : 1        : , "cheat", "cl"  : 
r_drawworld                              : 1        : , "cheat"        : Render the world.
r_dscale_basefov                         : 90       : , "cheat"        : 
r_dscale_fardist                         : 2000     : , "cheat"        : 
r_dscale_farscale                        : 4        : , "cheat"        : 
r_dscale_neardist                        : 100      : , "cheat"        : 
r_dscale_nearscale                       : 1        : , "cheat"        : 
r_dynamic                                : 1        :                  : 
r_dynamiclighting                        : 1        : , "cheat"        : 
r_eyegloss                               : 1        : , "a", "cl"      : 
r_eyemove                                : 1        : , "a"            : 
r_eyeshift_x                             : 0        : , "a"            : 
r_eyeshift_y                             : 0        : , "a"            : 
r_eyeshift_z                             : 0        : , "a"            : 
r_eyesize                                : 0        : , "a"            : 
r_eyewaterepsilon                        : 7        : , "cheat", "cl"  : 
r_farz                                   : -1       : , "cheat", "cl"  : Override the far clipping plane. -1 means to use the value in env_fog_controller.
r_flashlightambient                      : 0        : , "cheat", "cl"  : 
r_flashlightbacktraceoffset              : 0        : , "cheat", "cl"  : 
r_flashlightbrightness                   : 0        : , "cheat"        : 
r_flashlightclip                         : 0        : , "cheat"        : 
r_flashlightconstant                     : 0        : , "cheat", "cl"  : 
r_flashlightdrawclip                     : 0        : , "cheat"        : 
r_flashlightfar                          : 750      : , "cheat", "cl"  : 
r_flashlightfov                          : 53       : , "cheat", "cl"  : 
r_flashlightladderdist                   : 40       : , "cheat", "cl"  : 
r_flashlightlinear                       : 100      : , "cheat", "cl"  : 
r_flashlightlockposition                 : 0        : , "cheat", "cl"  : 
r_flashlightmuzzleflashfov               : 120      : , "cheat", "cl"  : 
r_flashlightnear                         : 4        : , "cheat", "cl"  : 
r_flashlightnearoffsetscale              : 1        : , "cheat", "cl"  : 
r_flashlightoffsetforward                : 0        : , "cheat", "cl"  : 
r_flashlightoffsetright                  : 5        : , "cheat", "cl"  : 
r_flashlightoffsetup                     : -5       : , "cheat", "cl"  : 
r_flashlightquadratic                    : 0        : , "cheat", "cl"  : 
r_flashlightshadowatten                  : 0        : , "cheat", "cl"  : 
r_flashlighttracedistcutoff              : 128      : , "cheat", "cl"  : 
r_flashlighttracedistwatercutoff         : 80       : , "cheat", "cl"  : 
r_flashlightvisualizetrace               : 0        : , "cheat", "cl"  : 
r_flushlod                               : cmd      :                  : Flush and reload LODs.
r_hwmorph                                : 0        : , "cheat"        : 
r_itemblinkmax                           : 0        : , "cheat"        : 
r_itemblinkrate                          : 4        : , "cheat"        : 
r_JeepFOV                                : 90       : , "sv", "cheat", "rep" : 
r_JeepViewBlendTo                        : 1        : , "cheat", "cl"  : 
r_JeepViewBlendToScale                   : 0        : , "cheat", "cl"  : 
r_JeepViewBlendToTime                    : 1        : , "cheat", "cl"  : 
r_JeepViewDampenDamp                     : 1        : , "cheat", "nf", "rep", "cl" : 
r_JeepViewDampenFreq                     : 7        : , "cheat", "nf", "rep", "cl" : 
r_JeepViewZHeight                        : 10       : , "cheat", "nf", "rep", "cl" : 
r_lightcache_invalidate                  : cmd      :                  : 
r_lightcache_numambientsamples           : 162      : , "cheat"        : number of random directions to fire rays when computing ambient lighting
r_lightcache_radiusfactor                : 1        : , "cheat"        : Allow lights to influence lightcaches beyond the lights' radii
r_lightcachecenter                       : 1        : , "cheat"        : 
r_lightcachemodel                        : -1       : , "cheat"        : 
r_lightinterp                            : 5        : , "cheat"        : Controls the speed of light interpolation, 0 turns off interpolation
r_lightmap                               : -1       : , "cheat"        : 
r_lightstyle                             : -1       : , "cheat"        : 
r_lightwarpidentity                      : 0        : , "cheat"        : 
r_lockpvs                                : 0        : , "cheat"        : Lock the PVS so you can fly around and inspect what is being drawn.
r_mapextents                             : 16384    : , "cheat", "cl"  : Set the max dimension for the map.  This determines the far clipping plane
r_modelwireframedecal                    : 0        : , "cheat"        : 
r_nohw                                   : 0        : , "cheat"        : 
r_nosw                                   : 0        : , "cheat"        : 
r_novis                                  : 0        : , "cheat"        : Turn off the PVS.
r_occlusionspew                          : 0        : , "cheat"        : Activate/deactivates spew about what the occlusion system is doing.
r_oldlightselection                      : 0        : , "cheat"        : Set this to revert to HL2's method of selecting lights
r_partition_level                        : -1       : , "cheat"        : Displays a particular level of the spatial partition system. Use -1 to disable it.
r_PhysPropStaticLighting                 : 0        : , "cl"           : 
r_portalsopenall                         : 0        : , "cheat"        : Open all portals
r_PortalTestEnts                         : 1        : , "cheat", "cl"  : Clip entities against portal frustums.
r_printdecalinfo                         : cmd      :                  : 
r_proplightingpooling                    : -1       : , "cheat"        : 0 - off, 1 - static prop color meshes are allocated from a single shared vertex buffer (on hardware that supports stream offset
r_radiosity                              : 4        : , "cheat"        : 0: no radiosity 1: radiosity with ambient cube (6 samples) 2: radiosity with 162 samples 3: 162 samples for static props, 6 sam
r_rainalpha                              : 0        : , "cheat", "cl"  : 
r_rainalphapow                           : 0        : , "cheat", "cl"  : 
r_RainCheck                              : 0        : , "cheat", "cl"  : Enable/disable IsInAir() check for rain drops?
r_RainDebugDuration                      : 0        : , "cheat", "cl"  : Shows rain tracelines for this many seconds (0 disables)
r_raindensity                            : 0        : , "cheat", "cl"  : 
r_RainHack                               : 0        : , "cheat", "cl"  : 
r_rainlength                             : 0        : , "cheat", "cl"  : 
r_RainProfile                            : 0        : , "cheat", "cl"  : Enable/disable rain profiling.
r_RainRadius                             : 1500     : , "cheat", "cl"  : 
r_RainSideVel                            : 10       : , "cheat", "cl"  : How much sideways velocity rain gets.
r_RainSimulate                           : 1        : , "cheat", "cl"  : Enable/disable rain simulation.
